name,rating,date_post,title,review
Patrick O.,5,1 June 2023,Bluetooth Speaker,"Really good product, the bass is really Powerful for a small speaker but there is no distortion at high volume, I highly recommend!"
Kloè Farrugia-Hutchings,5,21 May 2023,Love,I absolutely love this speaker. When listening to music and watching movies the sound is perfect.
Gail,1,20 May 2023,Save your money,"Gave the speaker a full charge. It registered that it had 100% battery. The speaker didn't last longer than 3 hours. Also the speaker played intermittently ie the music came through but kept breaking up, sometimes stopped playing like I'd paursed the music. The speaker was the only thing connected to my phone so no interference from anything else.Don't waste your money buying this item. Buy cheap get cheap."
Lesley B.,5,17 May 2023,Excellent,"This is perfect for the car.Sounds great, looks good, works really well.Good price"
Paul Wright,3,8 May 2023,quality,decent sound but battery life not so good
gary crilly,5,3 May 2023,Great Value Quality Product,Great product at a great price and super fast delivery.
Welder,1,2 May 2023,Very,Very little  volume
Mr J Rose,2,30 April 2023,Poor,Returned
Amazon Customer,1,19 April 2023,the base boost button stopped working after a few weeks,it was ok but as soon as counted to a laptopmthe soiunf went and some buttons such as bass boost stopped working
Outlander83,1,17 April 2023,WASTE OF MONEY,About once a minute it cute out for a second which is incredibly annoying. I tried contacting the seller but no reply and it would have been too expensive to return.AVOID AVOID AVOID.
Vikki nash,3,7 April 2023,Not as loud as I expected,It's ok but not worth the money
Siobhan,1,7 April 2023,Volume has a mind of it's own,Perhaps I got a faulty one but it seems to do what it wants with volume. I noticed it had gotten very quiet and assumed it was because the battery was decreasing (it was at 20%). I turned the volume up using the buttons on the speaker and plugged it in then 10 minutes later it was absolutely blasting and I had to turn it down. It did this a few days later with a full battery so no connection to charge
Thomas,4,6 April 2023,Are they any good,"I found this speaker adequate, nothing outstanding., Bluetooth broke up when I was about 15 feet away from it and not very loud."
jmo,1,6 April 2023,Not loud enough,Was looking for a louder wireless speaker to match the one which is no longer available. Unfortunately to drown out background noise at work it's just not enough for me. It cuts out as well frequently
Mr T,2,5 April 2023,"When a web vid has a very low volume on th puter,  the max sound volume is still too quiet.",If the original volume signal is weak; even to put this device on max volume will not give a much better audible sound. And it would be better to get proper buttons for setting the volume??? Or for switching on and off? These push buttons for setting the volume stepwise without any bip are a pain.
tonks,5,30 March 2023,Good little speaker for price,Sound quality lacking but not bad due to price
Aaron,3,28 March 2023,Loud is a stretch.,"""Loud"" isn't the word I'd use to describe this speaker, it's not loud at all.Battery life is very good, but the bass is non existent."
Lee,3,28 March 2023,Not that loud,Not that loud
Mrs. P. J. Beeching,5,26 March 2023,Useful little gadget,"Very efficient little wireless speaker.  I paired it with an Echo Dot with no problems and it happily read a voice-enabled Kindle book to me with excellent tone and volume. The battery charges reasonably fast with the cable supplied and it also has cable for headphones, the jacks for which are behind a rubber bung on the back of the speaker - attached by two ‘cords’ to avoid losing it.  In the compartment is also a red light which turns green to indicate that the the battery is fully charged.The only grumble I have is that whilst the instructions for pairing are good, the explanation of what the operating buttons are for is very tiny and hard to read!  In all other respects, this is a lovely thing to add to your Alexa enabled gadgets to extend their  usefulness."
Robert N.,1,17 March 2023,Waste of money,Supposed to be a loud bluetooth speaker my phone was just as loud as this item was returned
Steve,5,16 March 2023,A good quality product,For the money this speaker is excellent value as the sound is clear and can be set to a good volume. I'm pleased I bought it.
